body,label
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://apple-bank-986.com.cn/bank/account/",1
Security alert! Review activity: http://bankofamerica-security-786.com.xyz/verify/,1
Your password was changed successfully. No further action is needed.,0
Immediate action required: reset your password at http://google-support-688.com.tk/support/account/,1
Your payment failed. Update your information: http://chase-confirm-719.com.pw/confirm/account/,1
Thank you for your feedback. We appreciate your input.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://google-update-489.com.gq/verify/",1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Your password was changed successfully. No further action is needed.,0
Your account will be deleted if not verified: http://ebay-support-380.com.ru/support/update/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://google-reset-296.com.gq/reset/",1
Your latest bank statement is now available in your online banking portal.,0
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Your latest bank statement is now available in your online banking portal.,0
Unlock your account by confirming your details here: http://paypal-secure-502.com.top/verify/,1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Thank you for your feedback. We appreciate your input.,0
The project is on track for completion. Let me know if you need anything else.,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Unlock your account by confirming your details here: http://microsoft-confirm-344.com.top/verify/,1
The project is on track for completion. Let me know if you need anything else.,0
Your latest bank statement is now available in your online banking portal.,0
Your account is at risk. Reactivate now: http://facebook-login-332.com.cc/login/update/,1
The project is on track for completion. Let me know if you need anything else.,0
Thank you for your feedback. We appreciate your input.,0
Your account is at risk. Reactivate now: http://ebay-reset-403.com.cn/verify/,1
Your account is at risk. Reactivate now: http://facebook-alert-324.com.tk/verify/,1
We noticed unusual login attempts. Confirm your account here: http://amazon-bank-969.com.ml/bank/account/,1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
The project is on track for completion. Let me know if you need anything else.,0
Thank you for your feedback. We appreciate your input.,0
Welcome to our weekly newsletter. Here are the top stories...,0
Your account settings have been updated as requested.,0
Final notice: click here to keep your account active: http://facebook-update-206.com.ru/update/account/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Your payment failed. Update your information: http://bankofamerica-signin-750.com.cn,1
Your payment failed. Update your information: http://bankofamerica-secure-456.com.ru/secure/,1
Welcome to our weekly newsletter. Here are the top stories...,0
Thank you for your feedback. We appreciate your input.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://bankofamerica-update-147.com.gq",1
Immediate action required: reset your password at http://bankofamerica-security-598.com.ml/verify/,1
Your payment failed. Update your information: http://google-account-330.com.xyz/account/,1
Unlock your account by confirming your details here: http://ebay-verify-497.com.xyz/verify/update/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://microsoft-verify-713.com.ml/secure/",1
Your account will be deleted if not verified: http://chase-unlock-176.com.tk/secure/,1
Thank you for your feedback. We appreciate your input.,0
Final notice: click here to keep your account active: http://paypal-signin-508.com.top/secure/,1
Unlock your account by confirming your details here: http://bankofamerica-security-340.com.tk/security/update/,1
Your latest bank statement is now available in your online banking portal.,0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
We noticed unusual login attempts. Confirm your account here: http://microsoft-account-555.com.ru,1
Security alert! Review activity: http://chase-signin-417.com.pw/signin/update/,1
Immediate action required: reset your password at http://ebay-confirm-569.com.pw/confirm/update/,1
Your password was changed successfully. No further action is needed.,0
Your account settings have been updated as requested.,0
Your latest bank statement is now available in your online banking portal.,0
Immediate action required: reset your password at http://apple-bank-880.com.cc/secure/,1
Unlock your account by confirming your details here: http://facebook-alert-492.com.cn/verify/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Final notice: click here to keep your account active: http://amazon-bank-895.com.cn/bank/account/,1
Security alert! Review activity: http://facebook-verify-739.com.top/verify/update/,1
Unlock your account by confirming your details here: http://paypal-login-223.com.ru/login/update/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Your latest bank statement is now available in your online banking portal.,0
Security alert! Review activity: http://ebay-support-212.com.ml/support/account/,1
Final notice: click here to keep your account active: http://dropbox-confirm-972.com.top/verify/,1
Your account settings have been updated as requested.,0
Immediate action required: reset your password at http://facebook-reset-188.com.info/reset/update/,1
Immediate action required: reset your password at http://facebook-unlock-901.com.ml,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Your account will be deleted if not verified: http://amazon-support-872.com.cn/verify/,1
Your account is at risk. Reactivate now: http://amazon-unlock-913.com.ru,1
Your payment failed. Update your information: http://ebay-signin-432.com.ml/signin/account/,1
Your latest bank statement is now available in your online banking portal.,0
You're invited to our annual event! RSVP here.,0
Your account is at risk. Reactivate now: http://paypal-confirm-968.com.ml/confirm/account/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://apple-security-438.com.top/secure/",1
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
The project is on track for completion. Let me know if you need anything else.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://facebook-signin-279.com.ml/verify/",1
Your account is at risk. Reactivate now: http://facebook-reset-387.com.xyz/secure/,1
Security alert! Review activity: http://paypal-login-801.com.cc/secure/,1
Unlock your account by confirming your details here: http://amazon-alert-545.com.xyz/alert/account/,1
Your password was changed successfully. No further action is needed.,0
We noticed unusual login attempts. Confirm your account here: http://amazon-signin-654.com.pw/signin/update/,1
The project is on track for completion. Let me know if you need anything else.,0
Immediate action required: reset your password at http://apple-account-956.com.ml/account/account/,1
Thank you for your feedback. We appreciate your input.,0
Unlock your account by confirming your details here: http://apple-alert-823.com.ru/alert/,1
Welcome to our weekly newsletter. Here are the top stories...,0
Thank you for your feedback. We appreciate your input.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://chase-secure-508.com.tk",1
Your account will be deleted if not verified: http://bankofamerica-signin-200.com.cc/signin/,1
Final notice: click here to keep your account active: http://dropbox-alert-710.com.info/verify/,1
The project is on track for completion. Let me know if you need anything else.,0
You're invited to our annual event! RSVP here.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://chase-security-931.com.xyz",1
Your account settings have been updated as requested.,0
Your account is at risk. Reactivate now: http://paypal-reset-686.com.info,1
The project is on track for completion. Let me know if you need anything else.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://microsoft-bank-799.com.cc/verify/",1
Your account settings have been updated as requested.,0
Welcome to our weekly newsletter. Here are the top stories...,0
Welcome to our weekly newsletter. Here are the top stories...,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://chase-signin-660.com.ru",1
Your latest bank statement is now available in your online banking portal.,0
Your account settings have been updated as requested.,0
Security alert! Review activity: http://paypal-reset-646.com.cc/secure/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://apple-login-542.com.ml/secure/",1
Security alert! Review activity: http://ebay-signin-812.com.cn/signin/account/,1
Your payment failed. Update your information: http://apple-confirm-401.com.cn/confirm/account/,1
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://ebay-support-317.com.cc/support/",1
We noticed unusual login attempts. Confirm your account here: http://ebay-unlock-897.com.pw/unlock/update/,1
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Your account is at risk. Reactivate now: http://apple-secure-689.com.gq/secure/account/,1
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://chase-reset-713.com.ru/reset/update/",1
Your latest bank statement is now available in your online banking portal.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://google-confirm-618.com.pw/verify/",1
We noticed unusual login attempts. Confirm your account here: http://paypal-confirm-495.com.gq/confirm/,1
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://amazon-alert-494.com.cc/secure/",1
Your latest bank statement is now available in your online banking portal.,0
Your account settings have been updated as requested.,0
Thank you for your feedback. We appreciate your input.,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://microsoft-alert-101.com.tk/alert/",1
Your account settings have been updated as requested.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://facebook-signin-131.com.pw",1
Your account settings have been updated as requested.,0
Immediate action required: reset your password at http://apple-secure-804.com.xyz/secure/update/,1
Your account will be deleted if not verified: http://ebay-security-471.com.ml/secure/,1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Your account is at risk. Reactivate now: http://dropbox-verify-880.com.ru,1
Your password was changed successfully. No further action is needed.,0
Unlock your account by confirming your details here: http://microsoft-alert-231.com.xyz/verify/,1
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
Your password was changed successfully. No further action is needed.,0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Attached is the invoice for your recent purchase. Thank you for shopping with us.,0
We noticed unusual login attempts. Confirm your account here: http://paypal-login-512.com.gq/secure/,1
Your account will be deleted if not verified: http://amazon-security-294.com.ru,1
Welcome to our weekly newsletter. Here are the top stories...,0
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://apple-alert-718.com.cc/alert/update/",1
We noticed unusual login attempts. Confirm your account here: http://google-verify-419.com.cn/verify/,1
Your latest bank statement is now available in your online banking portal.,0
Final notice: click here to keep your account active: http://ebay-verify-230.com.cn/secure/,1
Thank you for your feedback. We appreciate your input.,0
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Thank you for your feedback. We appreciate your input.,0
The project is on track for completion. Let me know if you need anything else.,0
Immediate action required: reset your password at http://apple-security-814.com.ml,1
We noticed unusual login attempts. Confirm your account here: http://paypal-login-872.com.ml/verify/,1
Welcome to our weekly newsletter. Here are the top stories...,0
Your payment failed. Update your information: http://bankofamerica-signin-557.com.pw/verify/,1
Your account is at risk. Reactivate now: http://ebay-secure-704.com.cn/verify/,1
Final notice: click here to keep your account active: http://paypal-signin-702.com.cn/signin/account/,1
Your account settings have been updated as requested.,0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Your payment failed. Update your information: http://apple-signin-585.com.tk,1
Your account is at risk. Reactivate now: http://microsoft-update-685.com.xyz/verify/,1
We noticed unusual login attempts. Confirm your account here: http://apple-support-930.com.xyz,1
Your account settings have been updated as requested.,0
Thank you for your feedback. We appreciate your input.,0
Your account is at risk. Reactivate now: http://facebook-reset-946.com.cc/reset/account/,1
The project is on track for completion. Let me know if you need anything else.,0
Your account is at risk. Reactivate now: http://facebook-security-341.com.gq/verify/,1
Welcome to our weekly newsletter. Here are the top stories...,0
Your account will be deleted if not verified: http://ebay-alert-439.com.xyz/secure/,1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
Welcome to our weekly newsletter. Here are the top stories...,0
Your account will be deleted if not verified: http://google-secure-152.com.gq,1
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Your password was changed successfully. No further action is needed.,0
Immediate action required: reset your password at http://chase-unlock-350.com.cn/verify/,1
Immediate action required: reset your password at http://microsoft-account-886.com.gq/verify/,1
We noticed unusual login attempts. Confirm your account here: http://paypal-security-830.com.tk/security/,1
Your account will be deleted if not verified: http://ebay-bank-316.com.ru/bank/update/,1
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://chase-bank-738.com.xyz/bank/",1
"Hello, Your order has shipped and is on its way! Track your package here: https://www.amazon.com/trackorder",0
The project is on track for completion. Let me know if you need anything else.,0
Your account is at risk. Reactivate now: http://paypal-update-105.com.ru/update/update/,1
The project is on track for completion. Let me know if you need anything else.,0
"Dear Customer, Your account has been temporarily suspended. Click here to verify: http://facebook-support-107.com.cc",1
"Dear User, We detected suspicious activity on your account. Please verify your information immediately to restore access: http://bankofamerica-signin-184.com.tk",1
Welcome to our weekly newsletter. Here are the top stories...,0
Your latest bank statement is now available in your online banking portal.,0
Your account is at risk. Reactivate now: http://chase-verify-601.com.gq,1
Security alert! Review activity: http://bankofamerica-reset-652.com.cn/reset/update/,1
The project is on track for completion. Let me know if you need anything else.,0
Your account will be deleted if not verified: http://paypal-account-338.com.ml/account/update/,1
Your password was changed successfully. No further action is needed.,0
"Hi Team, Just a reminder that we have a meeting scheduled tomorrow at 10:00 AM in the main conference room. Please bring your project updates.",0
Welcome to our weekly newsletter. Here are the top stories...,0
